month,status,status_freq,,,,,,,,
dec2020,screened,100,,,,,,,,
dec2020,consented,9,,,,,,,,
dec2020,rand,3,,,,,,,,
nov2020,screened,67,,,,,,,,
nov2020,consented,10,,,,,,,,
nov2020,rand,3,,,,,,,,
oct2020,screened,88,,,,,,,,
oct2020,consented,8,,,,,,,,
oct2020,rand,2,,,,,,,,
sept2020,screened,30,,,,,,,,
sept2020,consented,4,,,,,,,,
sept2020,rand,0,,,,,,,,
jan2021,screened,85,,,,,,,,
jan2021,consented,11,,,,,,,,
jan2021,rand,4,,,,,,,,
feb2021,screened,85,,,,,,,,
feb2021,consented,13,,,,,,,,
feb2021,rand,3,,,,,,,,
mar2021,screened,56,,,,,,,,
mar2021,consented,11,,,,,,,,
mar2021,rand,6,,,,,,,,
apr2021,screened,72,,,,,,,,
apr2021,consented,9,,,,,,,,
apr2021,rand,4,,,,,,,,